======================================================================
TAA-PINN TRAINING
======================================================================
Experiment: AS6
Description: 6cm Axisymmetric TAA — data-driven RANS with physics regularization
Geometry: AS6
Device: cuda
Output directory: experiments/AS6
Non-Newtonian viscosity: Carreau-Yasuda
  mu_inf=0.0035, mu_0=0.16, lambda=8.2, n=0.2128, a=0.64
Optimizer strategy: adaptive weights
----------------------------------------------------------------------
LOADING DATA (non-dimensional)
----------------------------------------------------------------------
  Non-dimensional reference scales:
    L_ref         = 0.0500 m
    U_ref         = 0.4373 m/s  (from max|p|=202.67 Pa)
    P_ref         = 202.67 Pa  (= rho * U_ref^2)
    tau_ref       = 0.030608 Pa  (= mu * U_ref / L_ref)
    Re            = 6621.4
    rho           = 1060.0 kg/m^3
    mu            = 0.003500 Pa.s
    coord_scale   = 1.3254  (normalises coords to [-1,1])
    wss_std       = 18.2155  (standardises WSS to O(1))
    pressure_std  = 0.4828  (standardises pressure to O(1))
Loading systolic: 6cm systolic.csv
Computing wall normals...
Sampling interior collocation points...
  Wall points: 24655
  Interior points: 6000
  Normals computed: torch.Size([24655, 3])
  Phase encoding: 1.0
Loading diastolic: 6cm diastolic.csv
Computing wall normals...
Sampling interior collocation points...
  Wall points: 24655
  Interior points: 6000
  Normals computed: torch.Size([24655, 3])
  Phase encoding: 0.0
  Inlet cross-section: 73 points, radius=10.0 mm
  Outlet cross-section: 73 points, radius=10.0 mm
  Axial direction: X
  Inlet velocity (physical): systolic=0.5 m/s, diastolic=0.1 m/s
Data loading complete!
----------------------------------------------------------------------
INITIALIZING NETWORKS
----------------------------------------------------------------------
  Net_u: 202,497 parameters
  Net_v: 202,497 parameters
  Net_w: 202,497 parameters
  Net_p: 202,497 parameters
  Net_nut: 35,457 parameters
  Total: 845,445 parameters
----------------------------------------------------------------------
INITIALIZING OPTIMIZERS
----------------------------------------------------------------------
Learning rate (flow): 0.0001
Learning rate (nut):  0.001 (10.0x)
Optimizer (flow): AdamW — 809,988 parameters
Optimizer (nut):  AdamW — 35,457 parameters
Scheduler: CosineAnnealingLR
Mixed precision (AMP): disabled
Initialization complete!
======================================================================
STARTING TRAINING
======================================================================
Total epochs: 10000
Evaluate interval: 1000
Save interval: 2500
Early stopping: patience=3000, min_delta=1e-06
Training:   0%|          | 0/10000 [00:00<?, ?epoch/s]/home/olarinoyem/miniconda3/envs/deep_tf/lib/python3.11/site-packages/torch/autograd/graph.py:825: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at ../aten/src/ATen/cuda/CublasHandlePool.cpp:135.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Training:   0%|          | 0/10000 [00:01<?, ?epoch/s, loss=1.278e+04, lr=0.0001]
Training:   8%|▊         | 843/10000 [26:39<5:37:43,  2.21s/epoch, loss=2.511, lr=9.8e-05]
Training:   8%|▊         | 843/10000 [26:41<5:37:43,  2.21s/epoch, loss=2.6, lr=9.8e-05]  
Training:   8%|▊         | 844/10000 [26:41<5:37:42,  2.21s/epoch, loss=2.6, lr=9.8e-05]
Training:   8%|▊         | 844/10000 [26:43<5:37:42,  2.21s/epoch, loss=2.473, lr=9.8e-05]
Training:   8%|▊         | 845/10000 [26:43<5:37:02,  2.21s/epoch, loss=2.473, lr=9.8e-05]
Training:   8%|▊         | 845/10000 [26:45<5:37:02,  2.21s/epoch, loss=2.547, lr=9.8e-05]
Training:   8%|▊         | 846/10000 [26:45<5:36:21,  2.20s/epoch, loss=2.547, lr=9.8e-05]
Training:   8%|▊         | 846/10000 [26:48<5:36:21,  2.20s/epoch, loss=2.267, lr=9.8e-05]
Training:   8%|▊         | 847/10000 [26:48<5:36:52,  2.21s/epoch, loss=2.267, lr=9.8e-05]
Training:   8%|▊         | 847/10000 [26:50<5:36:52,  2.21s/epoch, loss=2.536, lr=9.8e-05]
Training:   8%|▊         | 848/10000 [26:50<5:34:34,  2.19s/epoch, loss=2.536, lr=9.8e-05]
Training:   8%|▊         | 848/10000 [26:52<5:34:34,  2.19s/epoch, loss=2.451, lr=9.8e-05]
Training:   8%|▊         | 849/10000 [26:52<5:35:20,  2.20s/epoch, loss=2.451, lr=9.8e-05]
Training:   8%|▊         | 849/10000 [26:54<5:35:20,  2.20s/epoch, loss=2.806, lr=9.8e-05]
Training:   8%|▊         | 850/10000 [26:54<5:35:17,  2.20s/epoch, loss=2.806, lr=9.8e-05]
Training:   8%|▊         | 850/10000 [26:56<5:35:17,  2.20s/epoch, loss=2.496, lr=9.8e-05]
Training:   9%|▊         | 851/10000 [26:56<5:34:56,  2.20s/epoch, loss=2.496, lr=9.8e-05]
Training:   9%|▊         | 851/10000 [26:59<5:34:56,  2.20s/epoch, loss=2.416, lr=9.8e-05]
Training:   9%|▊         | 852/10000 [26:59<5:34:10,  2.19s/epoch, loss=2.416, lr=9.8e-05]
Training:   9%|▊         | 852/10000 [27:01<5:34:10,  2.19s/epoch, loss=2.551, lr=9.8e-05]
Training:   9%|▊         | 853/10000 [27:01<5:33:43,  2.19s/epoch, loss=2.551, lr=9.8e-05]
Training:   9%|▊         | 853/10000 [27:03<5:33:43,  2.19s/epoch, loss=2.428, lr=9.8e-05]
Training:   9%|▊         | 854/10000 [27:03<5:34:23,  2.19s/epoch, loss=2.428, lr=9.8e-05]
Training:   9%|▊         | 854/10000 [27:05<5:34:23,  2.19s/epoch, loss=2.475, lr=9.8e-05]
Training:   9%|▊         | 855/10000 [27:05<5:33:07,  2.19s/epoch, loss=2.475, lr=9.8e-05]
Training:   9%|▊         | 855/10000 [27:07<5:33:07,  2.19s/epoch, loss=2.213, lr=9.8e-05]
Training:   9%|▊         | 856/10000 [27:07<5:33:57,  2.19s/epoch, loss=2.213, lr=9.8e-05]
Training:   9%|▊         | 856/10000 [27:09<5:33:57,  2.19s/epoch, loss=2.877, lr=9.8e-05]
Training:   9%|▊         | 857/10000 [27:09<5:35:19,  2.20s/epoch, loss=2.877, lr=9.8e-05]
Training:   9%|▊         | 857/10000 [27:12<5:35:19,  2.20s/epoch, loss=2.268, lr=9.8e-05]
Training:   9%|▊         | 858/10000 [27:12<5:34:42,  2.20s/epoch, loss=2.268, lr=9.8e-05]
Training:   9%|▊         | 858/10000 [27:14<5:34:42,  2.20s/epoch, loss=2.724, lr=9.8e-05]
Training:   9%|▊         | 859/10000 [27:14<5:34:32,  2.20s/epoch, loss=2.724, lr=9.8e-05]
Training:   9%|▊         | 859/10000 [27:16<5:34:32,  2.20s/epoch, loss=2.572, lr=9.8e-05]
Training:   9%|▊         | 860/10000 [27:16<5:34:51,  2.20s/epoch, loss=2.572, lr=9.8e-05]
Training:   9%|▊         | 860/10000 [27:18<5:34:51,  2.20s/epoch, loss=2.528, lr=9.8e-05]
Training:   9%|▊         | 861/10000 [27:18<5:34:07,  2.19s/epoch, loss=2.528, lr=9.8e-05]
Training:   9%|▊         | 861/10000 [27:20<5:34:07,  2.19s/epoch, loss=3.059, lr=9.8e-05]
Training:   9%|▊         | 862/10000 [27:20<5:33:43,  2.19s/epoch, loss=3.059, lr=9.8e-05]
Training:   9%|▊         | 862/10000 [27:23<5:33:43,  2.19s/epoch, loss=2.871, lr=9.8e-05]
Training:   9%|▊         | 863/10000 [27:23<5:33:50,  2.19s/epoch, loss=2.871, lr=9.8e-05]
Training:   9%|▊         | 863/10000 [27:25<5:33:50,  2.19s/epoch, loss=4.154, lr=9.8e-05]
Training:   9%|▊         | 864/10000 [27:25<5:33:34,  2.19s/epoch, loss=4.154, lr=9.8e-05]
Training:   9%|▊         | 864/10000 [27:27<5:33:34,  2.19s/epoch, loss=3.96, lr=9.8e-05] 
Training:   9%|▊         | 865/10000 [27:27<5:33:39,  2.19s/epoch, loss=3.96, lr=9.8e-05]
Training:   9%|▊         | 865/10000 [27:29<5:33:39,  2.19s/epoch, loss=3.106, lr=9.8e-05]
Training:   9%|▊         | 866/10000 [27:29<5:32:50,  2.19s/epoch, loss=3.106, lr=9.8e-05]
Training:   9%|▊         | 866/10000 [27:31<5:32:50,  2.19s/epoch, loss=3.364, lr=9.8e-05]
Training:   9%|▊         | 867/10000 [27:31<5:33:13,  2.19s/epoch, loss=3.364, lr=9.8e-05]
Training:   9%|▊         | 867/10000 [27:34<5:33:13,  2.19s/epoch, loss=3.07, lr=9.8e-05] 
Training:   9%|▊         | 868/10000 [27:34<5:33:32,  2.19s/epoch, loss=3.07, lr=9.8e-05]
Training:   9%|▊         | 868/10000 [27:36<5:33:32,  2.19s/epoch, loss=2.861, lr=9.8e-05]
Training:   9%|▊         | 869/10000 [27:36<5:33:37,  2.19s/epoch, loss=2.861, lr=9.8e-05]
Training:   9%|▊         | 869/10000 [27:38<5:33:37,  2.19s/epoch, loss=2.847, lr=9.8e-05]
Training:   9%|▊         | 870/10000 [27:38<5:34:41,  2.20s/epoch, loss=2.847, lr=9.8e-05]
Training:   9%|▊         | 870/10000 [27:40<5:34:41,  2.20s/epoch, loss=2.362, lr=9.8e-05]
Training:   9%|▊         | 871/10000 [27:40<5:34:11,  2.20s/epoch, loss=2.362, lr=9.8e-05]
Training:   9%|▊         | 871/10000 [27:42<5:34:11,  2.20s/epoch, loss=2.743, lr=9.8e-05]
Training:   9%|▊         | 872/10000 [27:42<5:33:32,  2.19s/epoch, loss=2.743, lr=9.8e-05]
Training:   9%|▊         | 872/10000 [27:45<5:33:32,  2.19s/epoch, loss=2.451, lr=9.8e-05]
Training:   9%|▊         | 873/10000 [27:45<5:33:35,  2.19s/epoch, loss=2.451, lr=9.8e-05]
Training:   9%|▊         | 873/10000 [27:47<5:33:35,  2.19s/epoch, loss=3.121, lr=9.8e-05]
Training:   9%|▊         | 874/10000 [27:47<5:33:17,  2.19s/epoch, loss=3.121, lr=9.8e-05]
Training:   9%|▊         | 874/10000 [27:49<5:33:17,  2.19s/epoch, loss=3.57, lr=9.8e-05] 
Training:   9%|▉         | 875/10000 [27:49<5:31:50,  2.18s/epoch, loss=3.57, lr=9.8e-05]
Training:   9%|▉         | 875/10000 [27:51<5:31:50,  2.18s/epoch, loss=3.177, lr=9.8e-05]
Training:   9%|▉         | 876/10000 [27:51<5:32:05,  2.18s/epoch, loss=3.177, lr=9.8e-05]
Training:   9%|▉         | 876/10000 [27:53<5:32:05,  2.18s/epoch, loss=2.795, lr=9.8e-05]
Training:   9%|▉         | 877/10000 [27:53<5:33:10,  2.19s/epoch, loss=2.795, lr=9.8e-05]
Training:   9%|▉         | 877/10000 [27:55<5:33:10,  2.19s/epoch, loss=3.19, lr=9.8e-05] 
Training:   9%|▉         | 878/10000 [27:55<5:32:15,  2.19s/epoch, loss=3.19, lr=9.8e-05]
Training:   9%|▉         | 878/10000 [27:58<5:32:15,  2.19s/epoch, loss=2.779, lr=9.8e-05]
Training:   9%|▉         | 879/10000 [27:58<5:32:05,  2.18s/epoch, loss=2.779, lr=9.8e-05]
Training:   9%|▉         | 879/10000 [28:00<5:32:05,  2.18s/epoch, loss=3.106, lr=9.8e-05]
Training:   9%|▉         | 880/10000 [28:00<5:33:42,  2.20s/epoch, loss=3.106, lr=9.8e-05]
Training:   9%|▉         | 880/10000 [28:02<5:33:42,  2.20s/epoch, loss=3.017, lr=9.8e-05]
Training:   9%|▉         | 881/10000 [28:02<5:34:36,  2.20s/epoch, loss=3.017, lr=9.8e-05]
Training:   9%|▉         | 881/10000 [28:04<5:34:36,  2.20s/epoch, loss=2.452, lr=9.8e-05]
Training:   9%|▉         | 882/10000 [28:04<5:33:44,  2.20s/epoch, loss=2.452, lr=9.8e-05]
Training:   9%|▉         | 882/10000 [28:06<5:33:44,  2.20s/epoch, loss=2.828, lr=9.8e-05]
Training:   9%|▉         | 883/10000 [28:06<5:33:29,  2.19s/epoch, loss=2.828, lr=9.8e-05]
Training:   9%|▉         | 883/10000 [28:09<5:33:29,  2.19s/epoch, loss=2.249, lr=9.8e-05]
Training:   9%|▉         | 884/10000 [28:09<5:32:48,  2.19s/epoch, loss=2.249, lr=9.8e-05]
Training:   9%|▉         | 884/10000 [28:11<5:32:48,  2.19s/epoch, loss=2.682, lr=9.8e-05]
Training:   9%|▉         | 885/10000 [28:11<5:31:55,  2.18s/epoch, loss=2.682, lr=9.8e-05]
Training:   9%|▉         | 885/10000 [28:13<5:31:55,  2.18s/epoch, loss=2.576, lr=9.8e-05]
Training:   9%|▉         | 886/10000 [28:13<5:31:24,  2.18s/epoch, loss=2.576, lr=9.8e-05]
Training:   9%|▉         | 886/10000 [28:15<5:31:24,  2.18s/epoch, loss=2.459, lr=9.8e-05]
Training:   9%|▉         | 887/10000 [28:15<5:32:52,  2.19s/epoch, loss=2.459, lr=9.8e-05]
Training:   9%|▉         | 887/10000 [28:17<5:32:52,  2.19s/epoch, loss=2.414, lr=9.8e-05]
Training:   9%|▉         | 888/10000 [28:17<5:31:28,  2.18s/epoch, loss=2.414, lr=9.8e-05]
Training:   9%|▉         | 888/10000 [28:20<5:31:28,  2.18s/epoch, loss=2.181, lr=9.8e-05]
Training:   9%|▉         | 889/10000 [28:20<5:30:45,  2.18s/epoch, loss=2.181, lr=9.8e-05]
Training:   9%|▉         | 889/10000 [28:22<5:30:45,  2.18s/epoch, loss=2.469, lr=9.8e-05]
Training:   9%|▉         | 890/10000 [28:22<5:32:03,  2.19s/epoch, loss=2.469, lr=9.8e-05]
Training:   9%|▉         | 890/10000 [28:24<5:32:03,  2.19s/epoch, loss=2.191, lr=9.8e-05]
Training:   9%|▉         | 891/10000 [28:24<5:33:28,  2.20s/epoch, loss=2.191, lr=9.8e-05]
Training:   9%|▉         | 891/10000 [28:26<5:33:28,  2.20s/epoch, loss=2.521, lr=9.8e-05]
Training:   9%|▉         | 892/10000 [28:26<5:32:56,  2.19s/epoch, loss=2.521, lr=9.8e-05]
Training:   9%|▉         | 892/10000 [28:28<5:32:56,  2.19s/epoch, loss=2.37, lr=9.8e-05] 
Training:   9%|▉         | 893/10000 [28:28<5:33:47,  2.20s/epoch, loss=2.37, lr=9.8e-05]
Training:   9%|▉         | 893/10000 [28:31<5:33:47,  2.20s/epoch, loss=2.339, lr=9.8e-05]
Training:   9%|▉         | 894/10000 [28:31<5:33:39,  2.20s/epoch, loss=2.339, lr=9.8e-05]
Training:   9%|▉         | 894/10000 [28:33<5:33:39,  2.20s/epoch, loss=2.425, lr=9.8e-05]
Training:   9%|▉         | 895/10000 [28:33<5:33:05,  2.19s/epoch, loss=2.425, lr=9.8e-05]
Training:   9%|▉         | 895/10000 [28:35<5:33:05,  2.19s/epoch, loss=2.426, lr=9.8e-05]
Training:   9%|▉         | 896/10000 [28:35<5:31:58,  2.19s/epoch, loss=2.426, lr=9.8e-05]
Training:   9%|▉         | 896/10000 [28:37<5:31:58,  2.19s/epoch, loss=2.352, lr=9.8e-05]
Training:   9%|▉         | 897/10000 [28:37<5:33:33,  2.20s/epoch, loss=2.352, lr=9.8e-05]
Training:   9%|▉         | 897/10000 [28:39<5:33:33,  2.20s/epoch, loss=2.406, lr=9.8e-05]
Training:   9%|▉         | 898/10000 [28:39<5:32:16,  2.19s/epoch, loss=2.406, lr=9.8e-05]
Training:   9%|▉         | 898/10000 [28:42<5:32:16,  2.19s/epoch, loss=2.275, lr=9.8e-05]
Training:   9%|▉         | 899/10000 [28:42<5:32:19,  2.19s/epoch, loss=2.275, lr=9.8e-05]
Training:   9%|▉         | 899/10000 [28:44<5:32:19,  2.19s/epoch, loss=2.234, lr=9.8e-05]
Training:   9%|▉         | 900/10000 [28:44<5:32:15,  2.19s/epoch, loss=2.234, lr=9.8e-05]
Training:   9%|▉         | 900/10000 [28:46<5:32:15,  2.19s/epoch, loss=2.28, lr=9.8e-05] 
Training:   9%|▉         | 901/10000 [28:46<5:32:49,  2.19s/epoch, loss=2.28, lr=9.8e-05]
Training:   9%|▉         | 901/10000 [28:48<5:32:49,  2.19s/epoch, loss=2.203, lr=9.8e-05]
Training:   9%|▉         | 902/10000 [28:48<5:31:19,  2.19s/epoch, loss=2.203, lr=9.8e-05]
Training:   9%|▉         | 902/10000 [28:50<5:31:19,  2.19s/epoch, loss=2.17, lr=9.8e-05] 
Training:   9%|▉         | 903/10000 [28:50<5:32:12,  2.19s/epoch, loss=2.17, lr=9.8e-05]
Training:   9%|▉         | 903/10000 [28:52<5:32:12,  2.19s/epoch, loss=2.217, lr=9.8e-05]
Training:   9%|▉         | 904/10000 [28:52<5:32:39,  2.19s/epoch, loss=2.217, lr=9.8e-05]
Training:   9%|▉         | 904/10000 [28:55<5:32:39,  2.19s/epoch, loss=2.141, lr=9.8e-05]
Training:   9%|▉         | 905/10000 [28:55<5:38:45,  2.23s/epoch, loss=2.141, lr=9.8e-05]
Training:   9%|▉         | 905/10000 [28:57<5:38:45,  2.23s/epoch, loss=2.18, lr=9.8e-05] 
Training:   9%|▉         | 906/10000 [28:57<5:37:08,  2.22s/epoch, loss=2.18, lr=9.8e-05]
Training:   9%|▉         | 906/10000 [28:59<5:37:08,  2.22s/epoch, loss=2.605, lr=9.8e-05]
Training:   9%|▉         | 907/10000 [28:59<5:33:43,  2.20s/epoch, loss=2.605, lr=9.8e-05]
Training:   9%|▉         | 907/10000 [29:01<5:33:43,  2.20s/epoch, loss=1.963, lr=9.8e-05]
Training:   9%|▉         | 908/10000 [29:02<5:42:06,  2.26s/epoch, loss=1.963, lr=9.8e-05]
Training:   9%|▉         | 908/10000 [29:04<5:42:06,  2.26s/epoch, loss=2.347, lr=9.8e-05]
Training:   9%|▉         | 909/10000 [29:04<5:39:04,  2.24s/epoch, loss=2.347, lr=9.8e-05]
Training:   9%|▉         | 909/10000 [29:06<5:39:04,  2.24s/epoch, loss=2.037, lr=9.8e-05]
Training:   9%|▉         | 910/10000 [29:06<5:37:21,  2.23s/epoch, loss=2.037, lr=9.8e-05]
Training:   9%|▉         | 910/10000 [29:08<5:37:21,  2.23s/epoch, loss=2.361, lr=9.8e-05]
Training:   9%|▉         | 911/10000 [29:08<5:35:28,  2.21s/epoch, loss=2.361, lr=9.8e-05]
Training:   9%|▉         | 911/10000 [29:10<5:35:28,  2.21s/epoch, loss=2.533, lr=9.8e-05]
Training:   9%|▉         | 912/10000 [29:10<5:35:09,  2.21s/epoch, loss=2.533, lr=9.8e-05]
Training:   9%|▉         | 912/10000 [29:13<5:35:09,  2.21s/epoch, loss=2.292, lr=9.8e-05]
Training:   9%|▉         | 913/10000 [29:13<5:34:49,  2.21s/epoch, loss=2.292, lr=9.8e-05]
Training:   9%|▉         | 913/10000 [29:15<5:34:49,  2.21s/epoch, loss=2.492, lr=9.8e-05]
Training:   9%|▉         | 914/10000 [29:15<5:32:34,  2.20s/epoch, loss=2.492, lr=9.8e-05]
Training:   9%|▉         | 914/10000 [29:17<5:32:34,  2.20s/epoch, loss=2.419, lr=9.8e-05]
Training:   9%|▉         | 915/10000 [29:17<5:32:32,  2.20s/epoch, loss=2.419, lr=9.8e-05]
Training:   9%|▉         | 915/10000 [29:19<5:32:32,  2.20s/epoch, loss=4.067, lr=9.8e-05]
Training:   9%|▉         | 916/10000 [29:19<5:33:21,  2.20s/epoch, loss=4.067, lr=9.8e-05]
Training:   9%|▉         | 916/10000 [29:21<5:33:21,  2.20s/epoch, loss=4.252, lr=9.8e-05]
Training:   9%|▉         | 917/10000 [29:21<5:34:07,  2.21s/epoch, loss=4.252, lr=9.8e-05]
Training:   9%|▉         | 917/10000 [29:24<5:34:07,  2.21s/epoch, loss=2.666, lr=9.8e-05]
Training:   9%|▉         | 918/10000 [29:24<5:33:25,  2.20s/epoch, loss=2.666, lr=9.8e-05]
Training:   9%|▉         | 918/10000 [29:26<5:33:25,  2.20s/epoch, loss=3.01, lr=9.8e-05] 
Training:   9%|▉         | 919/10000 [29:26<5:32:43,  2.20s/epoch, loss=3.01, lr=9.8e-05]
Training:   9%|▉         | 919/10000 [29:28<5:32:43,  2.20s/epoch, loss=2.562, lr=9.8e-05]
Training:   9%|▉         | 920/10000 [29:28<5:32:13,  2.20s/epoch, loss=2.562, lr=9.8e-05]
Training:   9%|▉         | 920/10000 [29:30<5:32:13,  2.20s/epoch, loss=3.273, lr=9.8e-05]
Training:   9%|▉         | 921/10000 [29:30<5:31:37,  2.19s/epoch, loss=3.273, lr=9.8e-05]
Training:   9%|▉         | 921/10000 [29:32<5:31:37,  2.19s/epoch, loss=3.106, lr=9.8e-05]
Training:   9%|▉         | 922/10000 [29:32<5:31:34,  2.19s/epoch, loss=3.106, lr=9.8e-05]
Training:   9%|▉         | 922/10000 [29:34<5:31:34,  2.19s/epoch, loss=2.793, lr=9.8e-05]
Training:   9%|▉         | 923/10000 [29:34<5:31:17,  2.19s/epoch, loss=2.793, lr=9.8e-05]
Training:   9%|▉         | 923/10000 [29:37<5:31:17,  2.19s/epoch, loss=2.793, lr=9.8e-05]
Training:   9%|▉         | 924/10000 [29:37<5:31:38,  2.19s/epoch, loss=2.793, lr=9.8e-05]
Training:   9%|▉         | 924/10000 [29:39<5:31:38,  2.19s/epoch, loss=2.924, lr=9.8e-05]
Training:   9%|▉         | 925/10000 [29:39<5:31:05,  2.19s/epoch, loss=2.924, lr=9.8e-05]
Training:   9%|▉         | 925/10000 [29:41<5:31:05,  2.19s/epoch, loss=2.183, lr=9.8e-05]
Training:   9%|▉         | 926/10000 [29:41<5:31:16,  2.19s/epoch, loss=2.183, lr=9.8e-05]
Training:   9%|▉         | 926/10000 [29:43<5:31:16,  2.19s/epoch, loss=2.988, lr=9.8e-05]
Training:   9%|▉         | 927/10000 [29:43<5:31:46,  2.19s/epoch, loss=2.988, lr=9.8e-05]
Training:   9%|▉         | 927/10000 [29:45<5:31:46,  2.19s/epoch, loss=2.742, lr=9.8e-05]
Training:   9%|▉         | 928/10000 [29:45<5:31:09,  2.19s/epoch, loss=2.742, lr=9.8e-05]
Training:   9%|▉         | 928/10000 [29:48<5:31:09,  2.19s/epoch, loss=2.442, lr=9.8e-05]
Training:   9%|▉         | 929/10000 [29:48<5:30:48,  2.19s/epoch, loss=2.442, lr=9.8e-05]
Training:   9%|▉         | 929/10000 [29:50<5:30:48,  2.19s/epoch, loss=2.546, lr=9.8e-05]
Training:   9%|▉         | 930/10000 [29:50<5:31:06,  2.19s/epoch, loss=2.546, lr=9.8e-05]
Training:   9%|▉         | 930/10000 [29:52<5:31:06,  2.19s/epoch, loss=2.296, lr=9.8e-05]
Training:   9%|▉         | 931/10000 [29:52<5:30:59,  2.19s/epoch, loss=2.296, lr=9.8e-05]
Training:   9%|▉         | 931/10000 [29:54<5:30:59,  2.19s/epoch, loss=2.399, lr=9.8e-05]
Training:   9%|▉         | 932/10000 [29:54<5:31:42,  2.19s/epoch, loss=2.399, lr=9.8e-05]
Training:   9%|▉         | 932/10000 [29:56<5:31:42,  2.19s/epoch, loss=2.207, lr=9.8e-05]
Training:   9%|▉         | 933/10000 [29:56<5:33:25,  2.21s/epoch, loss=2.207, lr=9.8e-05]
Training:   9%|▉         | 933/10000 [29:59<5:33:25,  2.21s/epoch, loss=2.424, lr=9.8e-05]
Training:   9%|▉         | 934/10000 [29:59<5:32:23,  2.20s/epoch, loss=2.424, lr=9.8e-05]
Training:   9%|▉         | 934/10000 [30:01<5:32:23,  2.20s/epoch, loss=2.344, lr=9.8e-05]
Training:   9%|▉         | 935/10000 [30:01<5:32:11,  2.20s/epoch, loss=2.344, lr=9.8e-05]
Training:   9%|▉         | 935/10000 [30:03<5:32:11,  2.20s/epoch, loss=2.467, lr=9.8e-05]
Training:   9%|▉         | 936/10000 [30:03<5:32:36,  2.20s/epoch, loss=2.467, lr=9.8e-05]
Training:   9%|▉         | 936/10000 [30:05<5:32:36,  2.20s/epoch, loss=2.142, lr=9.8e-05]
Training:   9%|▉         | 937/10000 [30:05<5:32:14,  2.20s/epoch, loss=2.142, lr=9.8e-05]
Training:   9%|▉         | 937/10000 [30:07<5:32:14,  2.20s/epoch, loss=2.671, lr=9.8e-05]
Training:   9%|▉         | 938/10000 [30:07<5:31:31,  2.20s/epoch, loss=2.671, lr=9.8e-05]
Training:   9%|▉         | 938/10000 [30:10<5:31:31,  2.20s/epoch, loss=2.129, lr=9.8e-05]
Training:   9%|▉         | 939/10000 [30:10<5:31:57,  2.20s/epoch, loss=2.129, lr=9.8e-05]
Training:   9%|▉         | 939/10000 [30:12<5:31:57,  2.20s/epoch, loss=2.292, lr=9.8e-05]
Training:   9%|▉         | 940/10000 [30:12<5:31:02,  2.19s/epoch, loss=2.292, lr=9.8e-05]
Training:   9%|▉         | 940/10000 [30:14<5:31:02,  2.19s/epoch, loss=2.576, lr=9.8e-05]
Training:   9%|▉         | 941/10000 [30:14<5:31:01,  2.19s/epoch, loss=2.576, lr=9.8e-05]
Training:   9%|▉         | 941/10000 [30:16<5:31:01,  2.19s/epoch, loss=2.202, lr=9.8e-05]
Training:   9%|▉         | 942/10000 [30:16<5:30:21,  2.19s/epoch, loss=2.202, lr=9.8e-05]
Training:   9%|▉         | 942/10000 [30:18<5:30:21,  2.19s/epoch, loss=2.654, lr=9.8e-05]
Training:   9%|▉         | 943/10000 [30:18<5:30:26,  2.19s/epoch, loss=2.654, lr=9.8e-05]
Training:   9%|▉         | 943/10000 [30:21<5:30:26,  2.19s/epoch, loss=2.146, lr=9.8e-05]
Training:   9%|▉         | 944/10000 [30:21<5:31:25,  2.20s/epoch, loss=2.146, lr=9.8e-05]
Training:   9%|▉         | 944/10000 [30:23<5:31:25,  2.20s/epoch, loss=3.346, lr=9.8e-05]
Training:   9%|▉         | 945/10000 [30:23<5:30:19,  2.19s/epoch, loss=3.346, lr=9.8e-05]
Training:   9%|▉         | 945/10000 [30:25<5:30:19,  2.19s/epoch, loss=2.989, lr=9.8e-05]
Training:   9%|▉         | 946/10000 [30:25<5:31:26,  2.20s/epoch, loss=2.989, lr=9.8e-05]
Training:   9%|▉         | 946/10000 [30:27<5:31:26,  2.20s/epoch, loss=2.584, lr=9.8e-05]
Training:   9%|▉         | 947/10000 [30:27<5:30:59,  2.19s/epoch, loss=2.584, lr=9.8e-05]
Training:   9%|▉         | 947/10000 [30:29<5:30:59,  2.19s/epoch, loss=2.789, lr=9.8e-05]
Training:   9%|▉         | 948/10000 [30:29<5:30:49,  2.19s/epoch, loss=2.789, lr=9.8e-05]
Training:   9%|▉         | 948/10000 [30:31<5:30:49,  2.19s/epoch, loss=2.64, lr=9.8e-05] 
Training:   9%|▉         | 949/10000 [30:31<5:29:44,  2.19s/epoch, loss=2.64, lr=9.8e-05]
Training:   9%|▉         | 949/10000 [30:34<5:29:44,  2.19s/epoch, loss=2.32, lr=9.8e-05]
Training:  10%|▉         | 950/10000 [30:34<5:30:13,  2.19s/epoch, loss=2.32, lr=9.8e-05]
Training:  10%|▉         | 950/10000 [30:36<5:30:13,  2.19s/epoch, loss=2.533, lr=9.8e-05]
Training:  10%|▉         | 951/10000 [30:36<5:30:22,  2.19s/epoch, loss=2.533, lr=9.8e-05]
Training:  10%|▉         | 951/10000 [30:38<5:30:22,  2.19s/epoch, loss=2.403, lr=9.8e-05]
Training:  10%|▉         | 952/10000 [30:38<5:29:55,  2.19s/epoch, loss=2.403, lr=9.8e-05]
Training:  10%|▉         | 952/10000 [30:40<5:29:55,  2.19s/epoch, loss=2.36, lr=9.8e-05] 
Training:  10%|▉         | 953/10000 [30:40<5:30:24,  2.19s/epoch, loss=2.36, lr=9.8e-05]
Training:  10%|▉         | 953/10000 [30:42<5:30:24,  2.19s/epoch, loss=2.375, lr=9.8e-05]
Training:  10%|▉         | 954/10000 [30:42<5:30:06,  2.19s/epoch, loss=2.375, lr=9.8e-05]
Training:  10%|▉         | 954/10000 [30:45<5:30:06,  2.19s/epoch, loss=2.281, lr=9.8e-05]
Training:  10%|▉         | 955/10000 [30:45<5:29:45,  2.19s/epoch, loss=2.281, lr=9.8e-05]
